Date,Equal Weight,Custom Weight,SPY Benchmark
2020-01-03,9872.735385334998,9879.293816043959,9924.279383978908
2020-01-06,9921.265040490513,9929.282426529979,9962.136085018974
2020-01-07,9915.59784918687,9898.434252201934,9934.127443954378
2020-01-08,10027.61015933409,10028.903586224858,9987.07364835995
2020-01-09,10177.0770718068,10186.257924622652,10054.790912165732
2020-01-10,10187.196097411652,10187.513356112559,10025.856825532072
2020-01-13,10407.039940136585,10387.454000921723,10094.807673242272
2020-01-14,10271.05805642337,10263.3329747485,10079.417245482367
2020-01-15,10254.88288466373,10258.132074193154,10102.194748786867
2020-01-16,10407.109232755944,10412.789920755473,10186.228916484613
2020-01-17,10469.805312177874,10485.138686701857,10217.933156447498
2020-01-21,10414.864539071545,10430.385261413077,10197.923745346232
2020-01-22,10440.960738228028,10443.489708886646,10199.158359813648
2020-01-23,10517.410286582452,10512.285844221215,10210.851127549275
2020-01-24,10438.981498475116,10438.006748053682,10120.046160977645
2020-01-27,10135.663626294978,10159.736079053593,9957.828331701949
2020-01-28,10406.733320887291,10420.063273527943,10062.180048836313
2020-01-29,10499.441732009918,10551.878798629577,10053.86649715966
2020-01-30,10596.941242638473,10667.141381012814,10086.49618269161
2020-01-31,10253.398446941761,10333.569922112083,9903.34555787157
2020-02-03,10383.711848708608,10457.076834544892,9976.915388923133
2020-02-04,10709.845809656726,10792.027651389817,10128.973928199022
2020-02-05,10787.033968647198,10853.660427780185,10245.943858638082
2020-02-06,10953.68815284192,11024.669066739225,10280.422374182168
2020-02-07,10871.027210456448,10947.90177593148,10225.629400890446
2020-02-10,11146.92913320513,11182.284988113646,10301.96423245626
2020-02-11,11110.14847885941,11096.165983862355,10319.819766899016
2020-02-12,11267.799128096083,11246.587358911334,10386.305507926369
2020-02-13,11196.463895906103,11175.671888839865,10375.225925172468
2020-02-14,11492.714310339305,11373.59509889885,10391.847875710802
2020-02-18,11551.053357967437,11389.656812470983,10365.069726861642
2020-02-19,11853.745895077594,11608.557519921094,10414.62744014129
2020-02-20,11677.537714378603,11445.746332228082,10371.838464609535
2020-02-21,11281.901154031999,11088.894221756544,10265.029885296273
2020-02-24,10675.260423037722,10530.170850681257,9924.584430625277
2020-02-25,10349.782319897417,10231.449861442938,9623.848629258462
2020-02-26,10521.341308414456,10391.237179552812,9588.451882086276
2020-02-27,9849.754663112388,9710.985655098388,9157.817737514364
2020-02-28,10154.403540055706,9937.089601618281,9119.341668114603
2020-03-02,10774.460669798058,10618.432389294825,9514.265774364
2020-03-03,10351.35633392523,10199.033967367714,9241.848813523126
2020-03-04,10879.719565441312,10680.893955509542,9630.314381485974
2020-03-05,10528.056693213332,10350.853738356678,9310.186476251602
2020-03-06,10289.155579705312,10123.915901968803,9156.277045837584
2020-03-09,9519.881005769761,9372.394313150578,8441.223488509322
2020-03-10,10167.637714908979,10018.214155692145,8878.014731691892
2020-03-11,9706.730060090156,9585.37703769419,8445.221557646497
