Date,AAPL,MSFT,NVDA
2020-01-02,72.33387756347656,151.8295440673828,5.963803291320801
2020-01-03,71.6306381225586,149.93902587890625,5.868346214294434
2020-01-06,72.20143127441406,150.32656860351562,5.8929572105407715
2020-01-07,71.86184692382812,148.9559326171875,5.964300632476807
2020-01-08,73.01783752441406,151.3285675048828,5.975487232208252
2020-01-09,74.56879425048828,153.21905517578125,6.041111946105957
2020-01-10,74.73738098144531,152.51016235351562,6.073430061340332
2020-01-13,76.33409118652344,154.34396362304688,6.263845443725586
2020-01-14,75.3033218383789,153.25692749023438,6.147010803222656
2020-01-15,74.9806137084961,154.24942016601562,6.1045026779174805
2020-01-16,75.91986846923828,157.07577514648438,6.1880269050598145
2020-01-17,76.76036071777344,157.95494079589844,6.196727275848389
2020-01-21,76.24016571044922,157.3877410888672,6.163417816162109
2020-01-22,76.5123062133789,156.6315460205078,6.2173614501953125
2020-01-23,76.88078308105469,157.59571838378906,6.2857208251953125
2020-01-24,76.65922546386719,156.0076141357422,6.226558208465576
2020-01-27,74.40501403808594,153.39869689941406,5.971013069152832
2020-01-28,76.50990295410156,156.40469360351562,6.164164066314697
2020-01-29,78.11144256591797,158.84344482421875,6.103757858276367
2020-01-30,77.99824523925781,163.32408142089844,6.110468864440918
2020-01-31,74.53990173339844,160.9136505126953,5.877297401428223
2020-02-03,74.33518981933594,164.83651733398438,5.974245071411133
2020-02-04,76.78927612304688,170.2623291015625,6.143282413482666
2020-02-05,77.41543579101562,170.0543975830078,6.233519554138184
2020-02-06,78.32093811035156,173.58026123046875,6.3202738761901855
2020-02-07,77.25635528564453,173.8260498046875,6.254151344299316
2020-02-10,77.623291015625,178.37274169921875,6.537041664123535
2020-02-11,77.15498352050781,174.345947265625,6.6593451499938965
2020-02-12,78.98722076416016,174.60113525390625,6.774936199188232
2020-02-13,78.42474365234375,173.65589904785156,6.731184482574463
2020-02-14,78.4440689086914,175.20611572265625,7.203745365142822
2020-02-18,77.00772094726562,176.98324584960938,7.372286796569824
2020-02-19,78.1230239868164,177.51397705078125,7.822971343994141
2020-02-20,77.321533203125,174.8031768798828,7.673820495605469
2020-02-21,75.57136535644531,169.2771759033203,7.310140132904053
2020-02-24,71.98169708251953,161.9787139892578,6.793330669403076
2020-02-25,69.54351806640625,159.3057403564453,6.514172077178955
2020-02-26,70.6467514038086,161.29624938964844,6.653378009796143
2020-02-27,66.02867126464844,149.93150329589844,6.28301477432251
2020-02-28,65.99005889892578,153.561767578125,6.7175517082214355
2020-03-02,72.13377380371094,163.7796173095703,6.87574577331543
2020-03-03,69.8428726196289,155.93142700195312,6.613581657409668
2020-03-04,73.08248901367188,161.65646362304688,7.076723098754883
2020-03-05,70.71192169189453,157.59959411621094,6.797643661499023
2020-03-06,69.7728500366211,153.1447296142578,6.617311477661133
2020-03-09,64.25437927246094,142.76571655273438,6.104921340942383
2020-03-10,68.882080078125,152.5286102294922,6.4939398765563965
2020-03-11,66.48976135253906,145.61875915527344,6.130539894104004
2020-03-12,59.9235954284668,131.80853271484375,5.380361080169678
2020-03-13,67.1029052734375,150.54759216308594,5.990503787994385
2020-03-16,58.4703369140625,128.35833740234375,4.885128498077393
2020-03-17,61.04128646850586,138.9269256591797,5.404237747192383
2020-03-18,59.5470085144043,133.07864379882812,5.0448174476623535
2020-03-19,59.09075164794922,135.2681884765625,5.2972822189331055
2020-03-20,55.3393440246582,130.18768310546875,5.117696285247803
2020-03-23,54.1637077331543,128.88914489746094,5.290317058563232
2020-03-24,59.59769821166992,140.60455322265625,6.197946071624756
2020-03-25,59.26938247680664,139.25869750976562,6.1093974113464355
2020-03-26,62.38833236694336,147.96946716308594,6.398426532745361
2020-03-27,59.8053092956543,141.89369201660156,6.286247253417969
2020-03-30,61.512027740478516,151.87460327148438,6.6061201095581055
2020-03-31,61.38648986816406,149.4860076904297,6.556621551513672
2020-04-01,58.15652084350586,144.17800903320312,6.045970439910889
2020-04-02,59.126956939697266,147.1637420654297,6.354400157928467
2020-04-03,58.27722930908203,145.808349609375,6.066864013671875
2020-04-06,63.36117172241211,156.65179443359375,6.676013946533203
2020-04-07,62.6273193359375,154.96463012695312,6.442948818206787
2020-04-08,64.23023986816406,156.51910400390625,6.639946937561035
2020-04-09,64.6937026977539,156.52853393554688,6.54045295715332
2020-04-13,65.9635009765625,156.87925720214844,6.7120795249938965
2020-04-14,69.29486846923828,164.6421661376953,7.062794208526611
2020-04-15,68.66239929199219,162.91712951660156,6.985437870025635
2020-04-16,69.20796966552734,167.80801391601562,7.330182075500488
2020-04-17,68.2689208984375,169.28668212890625,7.270983695983887
2020-04-20,66.85185241699219,165.93124389648438,7.139902591705322
2020-04-21,64.78546905517578,159.06884765625,6.703622817993164
2020-04-22,66.65150451660156,164.47158813476562,7.117515563964844
2020-04-23,66.39320373535156,162.4810791015625,7.064286708831787
2020-04-24,68.30994415283203,165.44784545898438,7.203078746795654
2020-04-27,68.35824584960938,164.97389221191406,7.3893818855285645
2020-04-28,67.25018310546875,160.9550018310547,7.247106552124023
2020-04-29,69.45903778076172,168.1776580810547,7.423707008361816
2020-04-30,70.92435455322266,169.86489868164062,7.269989967346191
2020-05-01,69.78251647949219,165.466796875,7.033693790435791
2020-05-04,70.76985168457031,169.51416015625,7.245364189147949
2020-05-05,71.83201599121094,171.33404541015625,7.306304454803467
2020-05-06,72.57313537597656,173.02117919921875,7.407042503356934
2020-05-07,73.32389068603516,174.02597045898438,7.583144664764404
2020-05-08,75.06912994384766,175.0496063232422,7.7729291915893555
2020-05-11,76.2503662109375,177.00218200683594,8.024650573730469
2020-05-12,75.37898254394531,172.9927978515625,7.762979030609131
2020-05-13,74.46883392333984,170.376708984375,7.740594387054443
2020-05-14,74.92631530761719,171.1160125732422,7.989826202392578
2020-05-15,74.48334503173828,173.60887145996094,8.447745323181152
2020-05-18,76.23826599121094,175.26760864257812,8.705931663513184
2020-05-19,75.79773712158203,174.05435180664062,8.760897636413574
2020-05-20,77.27184295654297,176.46864318847656,8.924565315246582
